Dwarf,MV,uMV,dMV,r2,ur2,dr2,dist,udist,ddist,Vhel,uVhel,dVhel,sigma,udsig,ddsig,[Fe/H],d[Fe/H]+,d[Fe/H]-,sigFe/H,dsigFe/H+,dsigFe/H-,appmag,lum,notes
Pegasus IV,-4.25,0.2,-0.2,41,8,-6,90,4,-6,0,0,0,3.3,1.7,-1.1,-2.67,0.25,-0.29,0.46,0.29,-0.17,0,2800,Cerny2022a
Delve 3,-1.3,0.4,-0.6,7,2,-2,56,2,-6,0,0,0,0,0,0,-1.4,0,-2,0,0,0,0,0,Cerny2022b
Delve 4,-0.2,0.5,-0.8,5,1,-1,45,4,-4,0,0,0,0,0,0,-1.9,0.,-2,0,0,0,0,0,Cerny2022b
Virgo II,-1.6,0.4,-0.6,16,+3,-3,72,8,-7,0,0,0,0,0,0,-1.9,0,-2,0,0,0,0,0,Cerny2022b
Delve 5,0.4,0.4,-0.9,5,1,-1,39,3,-3,0,0,0,0,0,0,-2.2,0,-2,0,0,0,0,0,Cerny2022b
Bootes V,-3.2,0.3,-0.3,20,2,-2,102,7,-7,0,0,0,0,0,0,-2.2,0,-2,0,0,0,0,0,Cerny2022b
Leo Minor I,-2.4,0.5,-0.4,26,9,-9,82,4,-7,0,0,0,0,0,0,-1.9,0,-2,0,0,0,0,0,Cerny2022b
Antlia 2,-9.03,0.15,-0.15,2920,311,-311,132,6,-6,290.7,0.5,-0.5,5.71,1.08,-1.08,-1.36,0.04,-0.04,0,0,0,11.57,
Tucana IV,-3.5,0.28,-0.28,127,26,-22,48,4,-4,15.9,1.8,-1.7,4.3,1.7,-1,-2.49,0.15,-0.16,0,0,0,14.91,
Sculptor,-10.82,0.14,-0.14,279,16,-16,86,5,-5,111.4,0.1,-0.1,9.2,1.1,-1.1,-1.73,0.03,-0.02,0.44,0.02,-0.02,8.85,
Cetus II,0,0.68,-0.68,17,9,-5,30,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,17.39,
Cetus III,-2.45,0.57,-0.56,90,32,-14,251,24,-11,0,0,0,0,0,0,0,0,0,0,0,0,19.55,
Triangulum II,-1.6,0.76,-0.76,16,4,-4,28.4,1.6,-1.6,-381.7,1.1,-1.1,3.4,-9.9,-9.9,-2.24,0.05,-0.05,0.53,0.12,-0.38,15.67,
Segue 2,-1.98,0.88,-0.88,40,4,-4,37,3,-3,-40.2,0.9,-0.9,2.2,-9.9,-9.9,-2.14,0.16,-0.15,0.39,0.12,-0.13,15.86,
DESJ0225+0304,-1.1,0.5,-0.3,19,9,-5,23.8,0.7,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,15.78,
Hydrus I,-4.71,0.08,-0.08,53,4,-4,27.6,0.5,-0.5,80.4,0.6,-0.6,2.7,0.5,-0.4,-2.52,0.09,-0.09,0.41,0.08,-0.08,12.49,LMCErkal20
Fornax,-13.34,0.14,-0.14,792,18,-18,139,3,-3,55.2,0.1,-0.1,11.7,0.9,-0.9,-1.07,0.02,-0.01,0.27,0.01,-0.01,7.38,
Horologium I,-3.76,0.56,-0.56,40,1,-9,87,13,-11,112.8,2.5,-2.6,4.9,2.8,-0.9,-2.76,0.1,-0.1,0.17,0.2,-0.03,15.94,LMCErkal20
Horologium II,-1.56,1.02,-1.02,44,15,-14,78,8,-7,168.7,12.9,-12.6,54.6,0,0,-1.87,0.36,-0.5,1.93,0,-1.93,17.9,
Reticulum II,-3.88,0.38,-0.38,51,3,-3,31.6,1.5,-1.4,62.8,0.5,-0.5,3.3,0.7,-0.7,-2.65,0.07,-0.07,0.28,0.09,-0.09,13.62,LMCErkal20
Eridanus II,-7.1,0.3,-0.3,246,17,-17,366,17,-17,75.6,1.3,-1.3,6.9,1.2,-0.9,-2.38,0.13,-0.13,0.47,0.12,-0.09,15.72,
Reticulum III,-3.3,0.29,-0.29,64,26,-23,92,13,-13,274.2,7.5,-7.4,31.2,0,0,-2.81,0.29,-0.29,0.35,0.21,-0.09,16.52,
Pictor I,-3.67,0.6,-0.6,32,15,-15,126,19,-16,0,0,0,0,0,0,0,0,0,0,0,0,16.83,
Columba I,-4.2,0.2,-0.2,117,12,-12,183,10,-10,153.7,5,-4.8,16.1,0,0,-2.37,0.35,-0.34,0.71,0.49,-0.24,17.11,
Carina,-9.45,0.05,-0.05,311,15,-15,106,5,-5,222.9,0.1,-0.1,6.6,1.2,-1.2,-1.8,0.02,-0.02,0.24,9.99,0,10.68,
Pictor II,-3.2,0.4,-0.5,47,20,-13,45,5,-4,0,0,0,0,0,0,0,0,0,0,0,0,15.07,
Carina II,-4.5,0.1,-0.1,92,8,-8,36.2,0.6,-0.6,477.2,1.2,-1.2,3.4,1.2,-0.8,-2.44,0.09,-0.09,0.22,0.1,-0.07,13.29,LMCErkal20
Carina III,-2.4,0.2,-0.2,30,8,-8,27.8,0.6,-0.6,284.6,3.4,-3.1,5.6,4.3,-2.1,0,0,0,0,0,0,14.82,LMCErkal20
Ursa Major II,-4.43,0.26,-0.26,139,9,-9,34.7,2,-1.9,-116.5,1.9,-1.9,5.6,1.4,-1.4,-2.23,0.21,-0.24,0.67,0.2,-0.15,13.27,
Leo T,-8,1,-1,118,11,-11,409,29,-27,38.1,2,-2,7.5,1.6,-1.6,-1.91,0.12,-0.14,0.43,0.13,-0.09,15.06,
Segue 1,-1.3,0.73,-0.73,24,4,-4,23,2,-2,208.5,0.9,-0.9,3.7,1.4,-1.1,-2.71,0.45,-0.39,0.95,0.42,-0.26,15.51,
Leo I,-11.78,0.28,-0.28,270,17,-16,254,16,-15,282.9,0.5,-0.5,9.2,0.4,-0.4,-1.48,0.02,-0.01,0.26,0.01,-0.01,10.24,
Sextans,-8.94,0.06,-0.06,456,15,-15,95,3,-3,224.3,0.1,-0.1,7.9,1.3,-1.3,-1.97,0.04,-0.04,0.38,0.03,-0.03,10.95,
Ursa Major I,-5.13,0.38,-0.38,295,28,-28,97.3,6,-5.7,-55.3,1.4,-1.4,7,1,-1,-2.16,0.11,-0.13,0.62,0.1,-0.08,14.81,
Willman 1,-2.9,0.74,-0.74,33,8,-8,45,10,-10,-14.1,1,-1,4,0.8,-0.8,-2.19,0.08,-0.08,,,,15.37,
Leo II,-9.74,0.04,-0.04,171,10,-10,233,14,-14,78.3,0.6,-0.6,7.4,0.4,-0.4,-1.68,0.02,-0.03,0.34,0.02,-0.02,12.1,
Leo V,-4.29,0.36,-0.36,49,16,-16,169,4,-4,170.9,2.1,-1.9,2.3,3.2,-1.6,-2.48,0.21,-0.21,0.47,0.23,-0.13,16.85,
Leo IV,-4.99,0.26,-0.26,114,13,-13,154,5,-5,132.3,1.4,-1.4,3.3,1.7,-1.7,-2.29,0.19,-0.22,0.56,0.19,-0.14,15.95,
Crater II,-8.2,0.1,-0.1,1066,86,-86,117.5,1.1,-1.1,87.5,0.4,-0.4,2.7,0.3,-0.3,-1.98,0.1,-0.1,0.22,0.04,-0.03,12.15,
Virgo I,-0.8,0.9,-0.9,38,12,-11,87,13,-8,0,0,0,0,0,0,0,0,0,0,0,0,18.9,
Hydra II,-4.86,0.37,-0.37,67,13,-13,151,8,-7,303.1,1.4,-1.4,3.6,-9.9,-9.9,-2.02,0.08,-0.08,0.4,0.48,-0.26,16.03,
Coma Berenices,-4.28,0.25,-0.25,69,5,-4,42,1.6,-1.5,98.1,0.9,-0.9,4.6,0.8,-0.8,-2.43,0.11,-0.11,0.46,0.09,-0.08,13.84,
Canes Venatici II,-5.17,0.32,-0.32,71,11,-11,160,4,-4,-128.9,1.2,-1.2,4.6,1,-1,-2.35,0.16,-0.19,0.57,0.15,-0.12,15.85,
Canes Venatici I,-8.73,0.06,-0.06,437,18,-18,211,6,-6,30.9,0.6,-0.6,7.6,0.4,-0.4,-1.91,0.04,-0.04,0.39,0.03,-0.02,12.89,
Bootes II,-2.94,0.74,-0.75,39,5,-5,42,1,-1,-117,5.2,-5.2,10.5,7.4,-7.4,-2.79,0.06,-0.1,0.35,-9.9,-9.9,15.18,
Bootes I,-6.02,0.25,-0.25,191,8,-8,66,2,-2,101.8,0.7,-0.7,4.6,0.8,-0.6,-2.35,0.09,-0.08,0.44,0.07,-0.06,13.08,
Ursa Minor,-9.03,0.05,-0.05,405,21,-21,76,4,-4,-247.2,0.8,-0.8,9.5,1.2,-1.2,-2.12,0.03,-0.02,0.33,0.02,-0.03,10.37,
Draco II,-0.8,0.4,-1,19,4,-3,21.5,0.4,-0.4,-342.5,1.1,-1.2,5.9,-9.9,-9.9,-2.7,0.1,-0.1,0.24,-9.9,-9.9,15.86,
Hercules,-5.83,0.17,-0.17,216,20,-20,132,6,-6,45,1.1,-1.1,5.1,0.9,-0.9,-2.47,0.13,-0.12,0.47,0.11,-0.08,14.77,
Draco,-8.88,0.05,-0.05,231,17,-17,82,6,-6,-290.7,0.7,-0.8,9.1,1.2,-1.2,-2,0.02,-0.02,0.34,0.02,-0.02,10.69,
Sagittarius,-13.5,0.15,-0.15,2662,193,-193,26.7,1.3,-1.3,139.4,0.6,-0.6,9.6,0.4,-0.4,-0.53,0.03,-0.02,0.17,0.02,-0.02,3.63,
Sagittarius II,-5.2,0.1,-0.1,33,2,-2,70.1,2.3,-2.3,-177.,0.5,-0.6,1.7,0.5,-0.5,0,0,0,0,0,0,14.03,
Indus II,-4.3,0.19,-0.19,181,70,-64,214,16,-16,0,0,0,0,0,0,0,0,0,0,0,0,17.35,
Grus II,-3.9,0.22,-0.22,93,16,-12,53,5,-5,-110,0.5,-0.5,2,2,-2,-2.51,0.11,-0.11,0.45,0,0.45,14.72,
Pegasus III,-4.1,0.5,-0.5,78,31,-25,205,20,-20,-222.9,2.6,-2.6,5.4,3,-2.5,-2.4,0.15,-0.15,0,0,0,17.46,
Aquarius II,-4.36,0.14,-0.14,160,26,-26,107.9,3.3,-3.3,-71.1,2.5,-2.5,5.4,3.4,-0.9,-2.3,0.5,-0.5,0,0,0,15.81,
Tucana II,-3.9,0.2,-0.2,121,35,-35,58,8,-8,-129.1,3.5,-3.5,8.6,4.4,-2.7,-2.9,0.15,-0.16,0.29,0.15,-0.12,14.92,
Grus I,-4.1,0.54,-0.74,151,21,-31,125,6,-12,-143.5,1.2,-1.2,2.5,1.3,-0.8,-1.42,0.55,-0.42,0.41,0.49,-0.23,16.93,Updated Chiti 2022
Pisces II,-4.23,0.38,-0.38,60,1,-1,183,15,-15,-226.5,2.7,-2.7,5.4,3.6,-2.4,-2.45,0.07,-0.07,0.48,0.7,-0.29,17.08,
Tucana V,-1.6,0.49,-0.49,16,5,-5,55,9,-9,-36.2,2.5,-2.2,7.4,0,0,-2.17,0.23,-0.23,0,0,0,17.1,
Phoenix II,-2.7,0.4,-0.4,37,8,-8,84.3,4,-4,32.4,3.7,-3.8,11,9.4,-5.3,-2.51,0.19,-0.17,0.33,0.29,-0.16,16.93,LMCErkal20
Tucana III,-1.49,0.2,-0.2,37,9,-9,25,2,-2,-102.3,0.4,-0.4,1.2,-9.9,-9.9,-2.42,0.07,-0.08,0.19,-9.9,-9.9,15.5,
